,md5_hash,total_time,age,english_level,age_of_acquisition,bilingual,bilingual_languages,time_in_english_country,english_history,traditional_classes,private_tutoring,language_learning_tech,social_media,video_games,in_person_conversations,private_messaging,emails_with_native_english,media_in_english,books_in_english,problems_difficulties,experiment_about,other_notes_questions,above_ability,response_a1,response_a2,response_a3,response_a4,response_b1,response_b2,response_b3,response_b4,response_c1,response_c2,response_c3,response_c4,response_d1,response_d2,response_d3,response_d4,response_e1,response_e2,response_e3,response_e4,response_f1,response_f2,response_f3,response_f4,response_g1,response_g2,response_g3,response_g4,response_h1,response_h2,response_h3,response_h4
55,e9d5404b6b25a2db77338f1eb7473f5f,10.36,30,C1-C2,"=""10-13""",yes,English,yes,- 7-month work as au pair in Dublin (Ireland)%0A- 5-month Enslish course in a Dublin School of English%0A- IELTS certificate%0A- 2-year M.Sc. course taught in English%0A- 5-month work as au pair in London (UK)%0A- 8-month work as PhD student in Dublin (Ireland)%0A- 2-year work as research scientist in Tallinn (Estonia) using English as main language%0A,no,no,no,yes,no,yes,yes,yes,yes,yes,Ho avuto difficoltà solo nell´inserire la mia età.,Valutare quanto la lingua inglese risulti naturale a Italiani sulla base del loro livello base di Inglese.  %0A,Vi sono stati pochi casi di frasi aventi un costrutto grammaticale atipico rispetto alle mie attuali conoscenze di Inglese.,no,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
56,6dee7231ca52839ca762f17cfc822889,17.4,47,A1-A2,"=""14+""",no,French,no,no english at school but out of school i did a course at Oxford School in Siena,no,no,no,no,no,yes,no,yes,yes,no,I think it's quite easy and natural also if I didn't understand some words,I think this experiment was about how people talk with them in America end if we can change this type of writing,Nothing to add,no,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7
57,a3f1cdc61bd42325bd3ada656548a07f,15.84,20,B1-B2,"=""5-10""",yes,English and a bit of French,no,I've took the english course (PET) while I was 18 and i did it for have the possibilty to take extra points for my final mark at school.%0AI got 162 point so Cambridge gives me the B2.%0ARight now I follow the Irene's B2 course%2C just to stay trained with english language,yes,no,no,no,yes,no,no,no,yes,no,Non ho ben capito se si dovesse valutare la correttezza delle chat o la loro effettiva credibilità. Io mi sono attenuto a quest'ultima ipotesi.,Forse dell'attenzione ai piccoli dettagli all'interno di una conversazione che un madrelingua inglese spesso non nota e che%2C invece%2C un madrelingue italiano nota poiché tende a leggere con più attenzione.,,no,3,3,5,4,4,6,3,3,5,3,5,3,7,3,4,1,4,5,5,4,5,2,1,2,4,4,3,4,5,4,6,3
58,001cd6b84f5c2e4652ba9ea03e3d76b8,33.73,25,B1-B2,"=""5-10""",yes,English,no,I have started studying English at primary school and I had a good level till the beginning of high school. During five years of High School I have had a bad unruly and because of this I forgot the most of my English knowledge. During the lasts two years of High School I attended British School in my city and I reached good results because I passed B1 exam in second year. Because of the University I left British School and during my university career I have done two English exams about grammar%2C business and English for tourism. Now I am attending English course with CLA in Siena for B2 eligibility.,yes,no,no,no,no,no,no,no,yes,no,No,Penso riguardasse l'abitudine per i ragazzi italiani di tradurre letteralmente alcune espressioni con il risultato di avere frasi in inglese grammaticalmente scorrette.,,no,7,1,6,7,1,5,1,7,6,1,3,7,1,1,1,5,4,1,7,4,4,4,7,5,3,6,7,1,7,3,5,1
59,6aaa91128336f558d0ee5c02280ca9a3,12.65,21,B1-B2,"=""5-10""",no,English,no,B1,yes,no,yes,yes,no,no,no,no,no,no,no,,,yes,6,6,7,6,7,6,7,6,7,7,6,6,7,6,6,6,7,7,7,6,5,5,6,6,7,6,7,6,6,6,6,7
60,fd1ce9886557d774de0f01b495495f2f,17.62,19,B1-B2,"=""5-10""",yes,English,no,I have B1 level. This certification I took it last semester%2C and now I took B2 level. I took both courses with the CLA in online mode.,yes,no,no,no,no,no,no,no,yes,no,No%2C è stato tutto molto comprensibile.,Credo che questo esperimento riguardasse le espressioni o le conversazioni che vengono affrontate nella realtà quotidiana e quindi riguardo all'utilizzo della lingua in modo molto colloquiale.,Vorrei sapere qual è il miglior modo per poter stare in continuo contatto con la lingua per evitare di dimenticare parti della grammatica e in quale modo poter acquisire maggiore fluidità nella conversazione. Grazie mille!,no,7,7,7,7,7,7,7,7,6,7,5,7,7,5,6,7,5,5,7,7,7,6,6,6,6,7,7,7,7,7,5,6
61,acb1dddf86e654c9d080e7dd9a463701,11.52,27,B1-B2,"=""0-4""",yes,French%2C English,yes,I'm in a B2 class right now.,yes,no,no,no,no,yes,yes,no,yes,no,No,esempi di frase giuste o sbagliate%2C o ancora parzialmente errate.,,no,7,7,7,5,4,3,2,7,7,7,7,5,1,3,2,1,1,7,7,7,6,4,4,3,7,7,7,7,7,7,7,3
62,08dcfb3987e34273f0a9e369d0c47216,32.46,22,B1-B2,"=""5-10""",yes,english,no,level B1 (Cla unisi)  2018-2019%0A,no,no,no,no,no,no,no,no,no,no,no,,,no,3,5,4,6,5,3,7,2,7,7,4,2,6,4,5,4,3,5,3,2,4,5,7,6,6,5,3,7,7,3,6,2
63,9496bda4ecb7f4d12c9edcec287574fa,21.73,34,B1-B2,"=""10-13""",no,,no,I haven't any certification of English but i will give in the future%2C i hope. I studied English at the middle school%2C in high school%2C at University. Now i doing the private lesson of conversetion with personal teacher mother tongue,no,yes,yes,yes,no,no,no,no,yes,no,ho avuto problemi di connessione e le prime domande non ho visto la chat.,Di capire se scrivendo in chat si usano modi di dire%2C per rendere i dialoghi più veloci,,no,3,4,6,3,5,6,4,6,4,4,4,5,4,5,6,5,6,2,4,5,3,6,7,6,7,6,6,6,5,4,3,6
64,5b7bb23353e364b7c98208857788058c,18.18,25,B1-B2,"=""5-10""",yes,English,no,I have the PET certification%2C that I took during my fourth year of high school%2C and a BULATS certification of the level B2 (taken before starting university),yes,no,yes,no,no,no,no,no,no,no,Ho avuto alcuni problemi nel capire se alcune costruzioni delle frasi fossero gergali oppure totalmente errate.,Penso riguardasse la capacità che ci fornisce l'apprendimento teorico dell'inglese a comprendere delle reali conversazioni che avvengono fra persone madrelingua.,,yes,7,7,7,6,7,4,7,7,7,7,7,6,5,1,7,6,6,6,5,6,3,7,6,7,7,7,6,7,7,7,7,7
65,15dbfe19d177bbd973cad52618f0b530,5.56,19,B1-B2,"=""5-10""",yes,French and English,no,.,yes,no,no,no,no,no,no,no,yes,no,No,Un po’ lungo,.,yes,5,3,5,5,5,5,5,4,5,4,3,4,4,5,4,3,5,5,4,6,4,5,4,6,5,5,4,4,4,6,4,6
66,c19c97587ed000d04e85d8d00e74e0b3,21.92,27,B1-B2,"=""10-13""",no,,no,I took the level b1. But I am actually following a course of B2,yes,no,no,yes,no,yes,yes,no,yes,no,No,Penso che l’esperimento testasse l’uso del linguaggio dalle forme più informali a quelle più formali,,no,2,5,7,4,6,6,6,4,7,6,4,4,5,2,3,6,2,6,6,2,7,4,3,5,3,6,2,6,4,2,6,3
67,25eaae713c01c999b81c8fb7d45008ae,99.44,20,B1-B2,"=""5-10""",yes,english and french,no,I don't have a certification. I learn perfectly this language when I went 2 stage in London,yes,no,no,yes,no,no,no,no,no,no,no,penso che sia servito per vedere la nostra conoscenza di inglese,,no,7,7,6,6,4,6,6,6,7,5,7,7,5,7,6,6,7,7,6,6,7,6,6,6,7,4,6,6,7,5,7,7
68,831bf1d3b9ffafb92edc4cdd4d12e099,22.5,25,A1-A2,"=""5-10""",yes,English,no,I'm Paolo%2C I'm 25 years old and I'm a student of University of Siena.,yes,no,no,no,no,no,no,no,no,no,no,dialoghi quotidiani tra 2 persone,,no,2,3,3,7,7,5,3,3,7,1,1,4,1,7,3,5,1,1,4,4,5,7,6,6,3,3,6,5,4,1,1,5
69,14cf0c6db3ad498ce25daa5e74a1fa8a,29.23,46,B1-B2,"=""14+""",yes,FRENCH,yes,i TOOK THE eNGLISH COURSE LAST YEAR%2C AT UNIVERSITY OF SIENA. TILL NOW I HAVE STUDIED ENGLISH SELF TAUGHT,yes,no,yes,yes,no,no,no,yes,yes,yes,NON PARTICOLARMENTE,LIVELLO DI COMPETENZA LINGUISTICA IN INGLESE,,no,5,7,6,6,7,3,5,2,7,6,7,6,3,1,5,2,7,7,7,7,6,1,4,4,7,7,6,7,1,1,1,1
70,fb546681164b214abd467f612786eb5e,17.72,21,B1-B2,"=""5-10""",no,,no,I haven't any certification. I'm taking a B2 level course,yes,no,no,yes,no,no,yes,no,yes,no,Non troppe difficoltà,Capire se l'inglese che studiamo noi madrelingua italiani sia efficace per conversare con un madrelingua inglese,,yes,6,7,7,7,6,7,7,3,7,6,7,6,7,7,6,6,7,6,3,7,7,6,7,3,7,2,7,7,7,6,7,6
71,e5e8b71d43441da9ad9bca0f8265f8ce,75.24,20,B1-B2,"=""10-13""",yes,English,no,I have always studied English at school since going to elementary school. Now I've taken a b1 certificate thanks to University's lessons.,yes,no,yes,yes,no,no,no,no,yes,no,si%2C forse proprio nel cercare di controllare se fossero strutturate bene le frasi.,probabilmente riguardava l'uso dell'inglese tramite messaggi whatsapp.,,no,6,7,3,6,6,2,2,5,7,7,7,7,5,7,3,7,7,2,7,6,7,7,7,5,7,1,2,5,3,3,5,6
